,UTM_X,UTM_Y,Cota
0,429241.8,4561374.9,7
1,429322.5,4568374.4,7
2,421830.0,4579081.0,7
3,423052.0,4571813.0,7
4,427529.0,4573234.0,7
5,416100.0,4570320.0,7
6,440732.9,4582984.8,7
7,421030.0,4578520.0,7
8,431064.0,4575003.0,7
9,434293.5,4572755.4,7
10,416932.0,4573376.0,7
11,423087.0,4571672.0,7
12,425930.0,4574638.0,7
13,424525.0,4576680.0,7
14,429264.9,4563374.8,7
15,416360.0,4571600.0,7
16,428209.9,4568000.6,7
17,421998.0,4573947.0,7
18,422981.0,4577261.0,7
19,432888.5,4571283.8,7
20,440824.1,4582752.0,7
21,443013.0,4577165.6,7
22,433037.5,4570536.0,7
23,423735.0,4574620.0,7
24,424295.0,4576785.0,7
25,428970.0,4575790.0,7
26,443469.1,4576001.8,7
27,423325.0,4575350.0,7
28,427110.0,4577190.0,7
29,417590.0,4573070.0,7
30,415710.0,4571850.0,7
31,427365.0,4574280.0,7
32,422754.0,4571504.0,7
33,418140.0,4573860.0,7
34,417980.0,4573350.0,7
35,418445.0,4568327.0,7
36,420020.0,4576230.0,7
37,418170.0,4573730.0,7
38,424345.0,4572270.0,7
39,421266.0,4575354.0,7
40,423100.0,4574868.0,7
41,433071.0,4566258.1,7
42,430006.7,4572171.1,7
43,442101.0,4579493.3,7
44,422903.0,4571730.0,7
45,440003.2,4584847.0,7
46,415731.3,4562044.4,7
47,431079.6,4574090.2,7
48,427860.0,4577489.0,7
49,418320.0,4573930.0,7
50,425694.0,4576190.0,7
51,419690.0,4571790.0,7
52,421718.0,4578992.0,7
53,424353.0,4572813.0,7
54,427369.0,4579475.0,7
55,423296.0,4573485.0,7
56,422923.0,4571653.0,7
57,423480.0,4575390.0,7
58,426600.0,4578750.0,7
59,421100.0,4575290.0,7
60,421856.0,4578989.0,7
61,426053.9,4570363.2,7
62,430411.0,4573665.0,7
63,423753.0,4571621.0,7
64,422210.0,4577760.0,7
65,421727.0,4578420.0,7
66,429680.0,4577140.0,7
67,429342.6,4570124.3,7
68,422481.0,4574211.0,7
69,420910.0,4573350.0,7
70,442283.4,4579027.7,7
71,429739.0,4572845.0,7
72,422916.0,4572162.0,7
73,441553.7,4580889.9,7
74,423950.0,4575945.0,7
75,416650.0,4572030.0,7
76,423115.0,4570650.0,7
77,444016.3,4574605.1,7
78,429259.1,4562874.8,7
79,432037.3,4569850.2,7
80,426648.9,4567490.3,7
81,425386.0,4575943.0,7
82,427285.0,4578354.0,7
83,423237.6,4563718.8,7
84,421470.0,4576670.0,7
85,423135.0,4570655.0,7
86,422410.0,4571410.0,7
87,429279.3,4564624.7,7
88,418780.0,4580200.0,7
89,436319.8,4575433.5,7
90,421320.0,4579480.0,7
91,424560.0,4580950.0,7
92,420497.0,4578271.0,7
93,422435.9,4566232.7,7
94,428312.0,4576948.0,7
95,420760.0,4573150.0,7
96,422755.0,4571300.0,7
97,426814.0,4574243.0,7
98,439912.0,4585079.7,7
99,421186.0,4578600.0,7
100,423960.0,4576390.0,7
101,423970.0,4574448.0,7
102,422263.0,4572006.0,7
103,421020.0,4577930.0,7
104,426945.0,4577570.0,7
105,428476.7,4570007.1,7
106,426538.0,4572627.0,7
107,441827.3,4580191.6,7
108,441097.7,4582053.7,7
109,427548.0,4579208.0,7
110,429296.6,4566124.6,7
111,420090.0,4571570.0,7
112,417470.0,4573130.0,7
113,442830.6,4577631.1,7
114,419960.0,4569520.0,7
115,443377.9,4576234.5,7
116,421651.0,4579184.0,7
117,417160.0,4568870.0,7
118,426232.0,4576861.0,7
119,442009.8,4579726.1,7
120,429267.8,4563624.7,7
121,429097.0,4572047.0,7
122,426319.104,4572818.387,7
123,429729.6,4568564.8,7
124,418660.0,4581810.0,7
125,427097.0,4573013.0,7
126,421720.0,4574700.0,7
127,420780.0,4578410.0,7
128,426233.0,4574875.0,7
129,430865.0,4576161.0,7
130,420923.0,4578477.0,7
131,421789.0,4579028.0,7
132,419770.0,4572280.0,7
133,429336.9,4569624.3,7
134,441736.1,4580424.4,7
135,423080.0,4575395.0,7
136,433984.0,4572536.3,7
137,425660.0,4576020.0,7
138,430364.0,4573700.0,7
139,423203.0,4571530.0,7
140,427710.0,4576110.0,7
141,425104.3,4568570.4,7
142,424788.0,4573210.0,7
143,423780.0,4577060.0,7
144,422980.0,4575420.0,7
145,427080.0,4577120.0,7
146,444289.9,4573906.8,7
147,422950.0,4575425.0,7
148,420710.0,4578490.0,7
149,438999.9,4587407.4,7
150,426694.0,4576895.0,7
151,437797.0,4577139.2,7
152,430386.0,4573696.0,7
153,415870.0,4571540.0,7
154,427699.5,4568559.9,7
155,425005.0,4575935.0,7
156,426627.0,4572313.0,7
157,425436.0,4571444.0,7
158,422270.0,4573050.0,7
159,420750.0,4578400.0,7
160,426940.0,4577090.0,7
161,427371.0,4577533.0,7
162,424270.0,4575095.0,7
163,441918.6,4579958.8,7
164,427290.0,4577190.0,7
165,424137.0,4574565.0,7
166,425287.0,4571339.0,7
167,421141.0,4576848.0,7
168,423800.0,4576210.0,7
169,439547.2,4586010.8,7
170,427850.0,4578470.0,7
171,423570.0,4575775.0,7
172,422360.0,4571506.0,7
173,423930.0,4571090.0,7
174,429345.5,4570374.3,7
175,421871.0,4579182.0,7
176,431165.1,4569169.9,7
177,443560.3,4575769.0,7
178,429276.4,4564374.7,7
179,425160.0,4571230.0,7
180,423170.0,4575270.0,7
181,421430.0,4571330.0,7
182,424038.5,4561212.2,7
183,425350.0,4573880.0,7
184,429247.6,4561874.9,7
185,430470.2,4568891.8,7
186,432849.2,4577857.5,7
187,421606.0,4578734.0,7
188,420110.0,4578480.0,7
189,423350.0,4575740.0,7
190,429253.4,4562374.8,7
191,415930.0,4571680.0,7
192,426947.0,4573664.0,7
193,420710.0,4573120.0,7
194,429316.7,4567874.5,7
195,426865.0,4573878.0,7
196,425000.0,4575060.0,7
197,434312.6,4577645.0,7
198,443104.25,4576932.8,7
199,427570.0,4579170.0,7
200,420680.0,4573860.0,7
201,423682.0,4571239.0,7
202,415170.0,4571030.0,7
203,428075.0,4576035.0,7
204,429293.7,4565874.6,7
205,416685.8,4561945.0,7
206,427239.0,4572938.0,7
207,423640.0,4576117.0,7
208,416595.2,4566632.2,7
209,423215.0,4574760.0,7
210,415374.0,4570042.0,7
211,424500.0,4577640.0,7
212,423327.0,4571276.0,7
213,422597.0,4572114.0,7
214,440641.7,4583217.6,7
215,417990.1,4561949.1,7
216,424113.3,4569862.7,7
217,422527.0,4573196.0,7
218,428152.5,4564595.4,7
219,422713.0,4571260.0,7
220,427911.0,4576350.0,7
221,423380.0,4574540.0,7
222,429094.0,4572092.0,7
223,418250.0,4574060.0,7
224,426068.0,4567170.2,7
225,422000.0,4570030.0,7
226,423100.0,4570470.0,7
227,422106.6,4563063.8,7
228,427327.0,4577848.0,7
229,417330.0,4572900.0,7
230,426775.0,4579614.0,7
231,440368.0,4583915.9,7
232,415442.0,4570135.0,7
233,440276.8,4584148.6,7
234,422732.0,4571480.0,7
235,418523.7,4567130.1,7
236,429302.3,4566624.5,7
237,427520.0,4578010.0,7
238,416766.3,4567679.9,7
239,431023.0,4575006.0,7
240,416307.5,4564871.0,7
